Material;Centro;Almac‚n;Clase de movimiento;Stock especial;Documento material;Posici¢n doc.mat.;Fecha contabiliz.;Ctd.en UM entrada;Un.medida de entrada;Descripci¢n del material;Importe ML;Centro de coste;Referencia
1962;BPC1;CC01;201;;4902550507;1;2024-12-27 00:00:00;-10;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-27456,43;182;27
1962;BPC1;CC01;201;;4902550509;1;2024-12-27 00:00:00;-2;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-5491,29;931;E143
1962;BPC1;CC01;201;;4902550494;1;2024-12-26 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;101;101
1962;BPC1;CC01;201;;4902550297;1;2024-12-26 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;450;450
1962;BPC1;CC01;201;;4902550322;1;2024-12-26 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;370;370
1962;BPC1;CC01;201;;4902550493;1;2024-12-26 00:00:00;-4;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-10982,57;419;419
1962;BPC1;CC01;201;;4902550302;1;2024-12-26 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;306;306
1962;BPC1;CC01;201;;4902550295;3;2024-12-26 00:00:00;-2;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-5491,29;919;919
1962;BPC1;CC01;201;;4902550140;1;2024-12-23 00:00:00;-1;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-2745,64;167;105
1962;BPC1;CC01;201;;4902550141;1;2024-12-23 00:00:00;-5;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-13728,21;167;892
1962;BPC1;CC01;201;;4902550135;1;2024-12-23 00:00:00;-8;PAQ;RESMA DE PAPEL A4 70GMS.P/FOTOCOPIADORA;-21965,14;422;422
