id_producto,nombre_producto,categoria,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock
0,General,Herramientas,2025-02-22,66,12,10,68,14,Proveedor A,4,ok
1,General,Electrico,2025-06-14,54,19,11,62,40,Proveedor B,6,ok
2,General,Hidraulico,2025-02-26,70,6,10,66,29,Proveedor C,2,ok
3,General,Hidraulico,2025-02-27,112,17,32,97,48,Proveedor B,10,ok
4,General,Herramientas,2025-04-17,48,17,17,48,15,Proveedor C,10,ok
5,Electronica,Electrico,2025-03-27,199,21,4,216,49,Proveedor C,3,ok
6,General,Mecanica,2025-04-11,198,32,29,201,36,Proveedor B,6,ok
7,General,Mecanica,2025-03-24,192,2,15,179,19,Proveedor A,1,ok
8,Electronica,Electrico,2025-06-14,75,6,18,63,38,Proveedor A,9,ok
9,Electronica,Hidraulico,2025-04-12,74,20,14,80,46,Proveedor C,12,ok
10,Electronica,Hidraulico,2025-03-01,105,39,19,125,10,Proveedor B,6,ok
11,General,Mecanica,2025-01-17,132,15,22,125,23,Proveedor A,11,ok
12,Electronica,Herramientas,2025-05-13,125,20,37,108,48,Proveedor C,8,ok
13,Electronica,Mecanica,2025-02-19,132,0,23,109,41,Proveedor A,3,ok
14,General,Mecanica,2025-04-25,101,9,11,99,44,Proveedor C,7,ok
15,General,Electrico,2025-04-27,175,13,19,169,36,Proveedor C,5,ok
16,General,Herramientas,2025-01-23,143,15,34,124,43,Proveedor B,13,ok
17,Electronica,Hidraulico,2025-03-02,63,12,28,47,23,Proveedor B,13,ok
18,General,Electrico,2025-03-04,90,6,21,75,49,Proveedor A,10,ok
19,General,Hidraulico,2025-02-12,68,11,24,55,39,Proveedor B,2,bajo
20,Electronica,Mecanica,2025-03-17,59,8,19,48,31,Proveedor C,11,ok
21,Electronica,Herramientas,2025-04-02,110,23,12,121,32,Proveedor C,9,ok
22,General,Hidraulico,2025-04-05,62,8,12,58,21,Proveedor A,7,ok
23,General,Herramientas,2025-03-09,45,19,26,38,33,Proveedor B,14,bajo
24,Electronica,Herramientas,2025-03-27,32,17,16,33,20,Proveedor B,7,ok
25,General,Electrico,2025-01-31,125,14,25,114,25,Proveedor A,6,ok
26,General,Herramientas,2025-06-20,123,16,23,116,11,Proveedor C,10,ok
27,General,Herramientas,2025-02-28,94,15,27,82,32,Proveedor C,4,ok
28,Electronica,Hidraulico,2025-06-24,163,21,7,177,16,Proveedor B,11,ok
29,General,Hidraulico,2025-03-28,135,17,11,141,12,Proveedor B,7,ok
30,General,Hidraulico,2025-02-04,91,23,19,95,16,Proveedor A,7,ok
31,General,Mecanica,2025-06-17,22,16,11,27,45,Proveedor B,6,critico
32,General,Electrico,2025-06-13,105,5,22,88,36,Proveedor B,14,ok
33,General,Hidraulico,2025-04-12,86,7,9,84,33,Proveedor B,8,ok
34,Electronica,Electrico,2025-03-27,48,13,42,19,32,Proveedor C,9,critico
35,Electronica,Hidraulico,2025-06-29,20,24,10,34,26,Proveedor C,3,bajo
36,Electronica,Electrico,2025-04-13,73,10,0,83,47,Proveedor C,6,ok
37,General,Electrico,2025-03-21,120,16,18,118,39,Proveedor B,6,ok
38,Electronica,Herramientas,2025-01-27,110,15,16,109,36,Proveedor B,2,ok
39,General,Hidraulico,2025-02-04,179,18,15,182,32,Proveedor A,11,ok
40,General,Electrico,2025-05-08,117,15,32,100,42,Proveedor C,12,ok
41,General,Electrico,2025-06-28,188,17,29,176,27,Proveedor B,13,ok
42,Electronica,Mecanica,2025-03-11,195,27,26,196,49,Proveedor A,9,ok
43,Electronica,Hidraulico,2025-04-01,166,12,23,155,24,Proveedor B,3,ok
44,General,Electrico,2025-01-10,107,3,20,90,38,Proveedor A,2,ok
45,General,Hidraulico,2025-04-08,79,16,12,83,46,Proveedor A,6,ok
46,Electronica,Electrico,2025-01-29,168,26,24,170,11,Proveedor B,1,ok
47,General,Hidraulico,2025-04-26,134,20,21,133,26,Proveedor C,11,ok
48,General,Mecanica,2025-05-13,94,21,0,115,46,Proveedor C,12,ok
49,General,Hidraulico,2025-03-26,158,7,25,140,38,Proveedor C,4,ok
50,General,Hidraulico,2025-05-14,144,16,20,140,14,Proveedor B,3,ok
51,Electronica,Electrico,2025-03-30,34,14,33,15,49,Proveedor A,6,critico
52,Electronica,Herramientas,2025-03-06,184,23,34,173,13,Proveedor B,13,ok
53,Electronica,Mecanica,2025-03-18,135,26,9,152,41,Proveedor C,13,ok
54,Electronica,Hidraulico,2025-04-22,122,21,24,119,46,Proveedor B,3,ok
55,General,Mecanica,2025-06-29,61,18,32,47,49,Proveedor A,2,critico
56,General,Mecanica,2025-02-06,93,20,13,100,45,Proveedor A,10,ok
57,General,Mecanica,2025-02-26,39,16,7,48,37,Proveedor B,3,bajo
58,Electronica,Hidraulico,2025-03-23,62,20,0,82,12,Proveedor A,6,ok
59,General,Herramientas,2025-03-17,107,8,20,95,38,Proveedor A,12,ok
60,General,Hidraulico,2025-01-22,67,15,32,50,26,Proveedor B,8,ok
61,General,Herramientas,2025-05-18,170,25,29,166,49,Proveedor B,2,ok
62,General,Mecanica,2025-06-16,95,16,13,98,49,Proveedor C,1,ok
63,Electronica,Electrico,2025-03-16,94,26,32,88,17,Proveedor B,4,ok
64,Electronica,Herramientas,2025-04-05,167,19,26,160,40,Proveedor C,8,ok
65,Electronica,Electrico,2025-05-17,67,0,11,56,30,Proveedor C,4,ok
66,Electronica,Hidraulico,2025-04-16,129,10,15,124,24,Proveedor A,8,ok
67,Electronica,Hidraulico,2025-05-24,26,26,21,31,33,Proveedor B,2,critico
68,Electronica,Hidraulico,2025-06-21,71,24,11,84,41,Proveedor A,11,ok
69,Electronica,Herramientas,2025-03-18,86,13,11,88,44,Proveedor C,8,ok
70,General,Hidraulico,2025-02-26,29,16,30,15,41,Proveedor A,9,critico
71,General,Electrico,2025-05-23,24,7,12,19,23,Proveedor B,13,critico
72,General,Herramientas,2025-01-04,83,18,20,81,47,Proveedor A,7,ok
73,Electronica,Mecanica,2025-01-27,58,17,24,51,29,Proveedor A,8,ok
74,General,Herramientas,2025-06-26,26,0,17,9,14,Proveedor B,3,critico
75,General,Herramientas,2025-01-14,81,12,23,70,34,Proveedor B,1,ok
76,General,Electrico,2025-03-25,139,13,18,134,48,Proveedor A,3,ok
77,Electronica,Hidraulico,2025-06-28,158,6,31,133,15,Proveedor B,5,ok
78,General,Hidraulico,2025-02-05,196,10,14,192,11,Proveedor C,10,ok
79,General,Hidraulico,2025-02-22,53,12,0,65,34,Proveedor A,12,ok
80,General,Electrico,2025-03-05,149,8,19,138,20,Proveedor B,6,ok
81,General,Herramientas,2025-06-22,73,4,20,57,14,Proveedor B,7,ok
82,Electronica,Electrico,2025-03-13,176,18,5,189,38,Proveedor B,3,ok
83,General,Hidraulico,2025-03-24,51,30,25,56,29,Proveedor C,7,ok
84,General,Mecanica,2025-04-01,84,12,22,74,36,Proveedor C,4,ok
85,General,Electrico,2025-04-02,78,5,2,81,33,Proveedor C,10,ok
86,General,Mecanica,2025-05-22,176,11,27,160,18,Proveedor A,11,ok
87,Electronica,Electrico,2025-03-20,92,18,15,95,25,Proveedor C,1,ok
88,General,Hidraulico,2025-03-29,149,15,11,153,39,Proveedor B,11,ok
89,Electronica,Electrico,2025-02-26,41,18,28,31,44,Proveedor C,5,critico
90,General,Electrico,2025-06-19,175,21,14,182,43,Proveedor A,2,ok
91,Electronica,Herramientas,2025-02-19,168,25,12,181,21,Proveedor A,12,ok
92,General,Mecanica,2025-05-16,23,8,14,17,21,Proveedor A,9,critico
93,General,Mecanica,2025-02-20,84,11,27,68,27,Proveedor A,10,ok
94,Electronica,Mecanica,2025-05-27,92,3,19,76,23,Proveedor C,4,ok
95,Electronica,Herramientas,2025-02-02,26,15,27,14,12,Proveedor A,1,bajo
96,General,Herramientas,2025-02-19,36,18,31,23,31,Proveedor C,12,critico
97,General,Electrico,2025-02-07,189,5,11,183,48,Proveedor A,14,ok
98,Electronica,Hidraulico,2025-03-03,61,4,37,28,43,Proveedor C,3,critico
99,Electronica,Mecanica,2025-03-22,46,32,2,76,33,Proveedor A,13,ok
100,Electronica,Mecanica,2025-06-13,131,0,12,119,45,Proveedor C,2,ok
101,Electronica,Mecanica,2025-04-04,128,9,23,114,32,Proveedor B,3,ok
102,General,Hidraulico,2025-04-23,33,32,19,46,43,Proveedor A,8,bajo
103,General,Mecanica,2025-05-30,79,22,6,95,16,Proveedor C,11,ok
104,Electronica,Mecanica,2025-03-27,128,24,21,131,47,Proveedor A,10,ok
105,Electronica,Hidraulico,2025-03-09,175,17,23,169,13,Proveedor A,3,ok
106,Electronica,Hidraulico,2025-04-19,65,14,9,70,40,Proveedor B,14,ok
107,General,Herramientas,2025-02-06,92,13,29,76,28,Proveedor A,3,ok
108,Electronica,Electrico,2025-06-07,104,17,29,92,41,Proveedor A,13,ok
109,Electronica,Electrico,2025-04-08,102,3,39,66,41,Proveedor A,5,ok
110,Electronica,Electrico,2025-05-16,100,12,31,81,49,Proveedor A,14,ok
111,Electronica,Herramientas,2025-05-04,164,20,28,156,32,Proveedor B,12,ok
112,General,Herramientas,2025-01-25,161,17,13,165,19,Proveedor A,14,ok
113,Electronica,Herramientas,2025-06-13,113,20,18,115,41,Proveedor B,7,ok
114,General,Herramientas,2025-02-17,50,24,11,63,18,Proveedor A,7,ok
115,General,Herramientas,2025-02-13,43,4,35,12,21,Proveedor A,8,critico
116,General,Hidraulico,2025-03-10,65,27,23,69,49,Proveedor C,3,bajo
117,General,Hidraulico,2025-06-21,43,22,11,54,28,Proveedor A,2,ok
118,General,Electrico,2025-02-18,108,12,25,95,14,Proveedor C,14,ok
119,Electronica,Mecanica,2025-06-23,90,20,42,68,11,Proveedor C,5,ok
120,Electronica,Mecanica,2025-01-03,108,3,13,98,24,Proveedor A,13,ok
121,Electronica,Electrico,2025-01-12,145,13,14,144,11,Proveedor A,9,ok
122,General,Mecanica,2025-03-03,45,28,32,41,45,Proveedor A,2,critico
123,General,Mecanica,2025-03-01,95,22,7,110,28,Proveedor B,5,ok
124,General,Hidraulico,2025-05-19,170,12,19,163,14,Proveedor C,1,ok
125,General,Hidraulico,2025-02-26,186,21,26,181,25,Proveedor A,5,ok
126,General,Herramientas,2025-02-09,98,6,16,88,12,Proveedor A,10,ok
127,General,Hidraulico,2025-06-07,62,24,18,68,44,Proveedor A,4,ok
128,General,Hidraulico,2025-05-21,163,10,18,155,30,Proveedor A,10,ok
129,Electronica,Mecanica,2025-04-12,58,11,10,59,12,Proveedor B,5,ok
130,General,Hidraulico,2025-01-11,24,26,31,19,20,Proveedor C,8,critico
131,Electronica,Herramientas,2025-04-12,32,23,21,34,29,Proveedor A,10,bajo
132,Electronica,Mecanica,2025-01-26,41,18,26,33,33,Proveedor C,2,critico
133,General,Hidraulico,2025-03-03,197,0,42,155,13,Proveedor B,8,ok
134,Electronica,Hidraulico,2025-02-02,30,8,25,13,19,Proveedor B,6,critico
135,Electronica,Mecanica,2025-05-26,186,18,17,187,45,Proveedor C,1,ok
136,Electronica,Hidraulico,2025-01-15,83,4,4,83,24,Proveedor B,6,ok
137,General,Electrico,2025-05-28,190,4,22,172,21,Proveedor A,2,ok
138,General,Hidraulico,2025-03-31,46,9,32,23,30,Proveedor B,11,critico
139,Electronica,Mecanica,2025-05-25,91,24,37,78,36,Proveedor A,7,ok
140,Electronica,Herramientas,2025-03-14,108,21,7,122,24,Proveedor C,9,ok
141,General,Mecanica,2025-02-26,21,16,27,10,11,Proveedor A,2,critico
142,General,Electrico,2025-04-29,168,3,18,153,46,Proveedor A,9,ok
143,Electronica,Mecanica,2025-06-10,49,15,23,41,41,Proveedor C,4,critico
144,Electronica,Mecanica,2025-06-11,99,19,13,105,42,Proveedor B,1,ok
145,Electronica,Mecanica,2025-03-01,80,16,31,65,33,Proveedor A,3,ok
146,General,Herramientas,2025-06-27,125,18,0,143,23,Proveedor C,2,ok
147,General,Herramientas,2025-05-13,90,5,19,76,12,Proveedor B,10,ok
148,General,Herramientas,2025-04-19,111,14,18,107,47,Proveedor B,4,ok
149,Electronica,Electrico,2025-05-18,59,29,29,59,40,Proveedor B,9,bajo
150,Electronica,Hidraulico,2025-02-12,77,17,18,76,41,Proveedor B,4,ok
151,General,Herramientas,2025-02-28,122,2,0,124,21,Proveedor B,7,ok
152,Electronica,Mecanica,2025-05-28,56,32,17,71,45,Proveedor A,1,ok
153,General,Mecanica,2025-01-12,135,30,12,153,45,Proveedor A,1,ok
154,General,Hidraulico,2025-06-23,80,0,21,59,16,Proveedor A,1,ok
155,Electronica,Hidraulico,2025-06-28,88,7,28,67,34,Proveedor B,7,ok
156,Electronica,Electrico,2025-01-05,123,5,20,108,17,Proveedor A,4,ok
157,General,Herramientas,2025-01-09,68,7,11,64,45,Proveedor B,3,bajo
158,General,Electrico,2025-06-06,102,16,18,100,32,Proveedor C,8,ok
159,General,Hidraulico,2025-04-12,192,14,23,183,16,Proveedor C,11,ok
160,Electronica,Electrico,2025-02-19,92,4,8,88,27,Proveedor B,8,ok
161,Electronica,Hidraulico,2025-01-11,176,26,34,168,18,Proveedor B,3,ok
162,General,Mecanica,2025-02-23,58,27,13,72,11,Proveedor B,3,ok
163,General,Herramientas,2025-04-05,60,29,19,70,34,Proveedor C,2,ok
164,General,Hidraulico,2025-04-19,114,32,29,117,28,Proveedor A,2,ok
165,General,Herramientas,2025-02-04,20,18,20,18,16,Proveedor B,7,bajo
166,Electronica,Herramientas,2025-04-15,125,18,15,128,42,Proveedor C,10,ok
167,General,Hidraulico,2025-02-26,67,10,27,50,39,Proveedor B,11,bajo
168,General,Electrico,2025-01-29,59,10,15,54,38,Proveedor B,12,bajo
169,General,Hidraulico,2025-06-27,78,20,42,56,44,Proveedor B,4,bajo
170,Electronica,Electrico,2025-01-20,56,18,28,46,27,Proveedor C,11,ok
171,Electronica,Hidraulico,2025-03-22,88,17,25,80,42,Proveedor B,1,ok
172,Electronica,Hidraulico,2025-01-05,40,5,40,5,12,Proveedor B,7,critico
173,General,Herramientas,2025-01-25,29,2,20,11,22,Proveedor C,1,critico
174,General,Electrico,2025-04-24,50,19,25,44,30,Proveedor B,8,bajo
175,General,Electrico,2025-06-06,94,16,7,103,17,Proveedor B,11,ok
176,Electronica,Electrico,2025-02-24,42,16,22,36,31,Proveedor B,5,bajo
177,General,Herramientas,2025-05-10,143,22,7,158,28,Proveedor A,12,ok
178,Electronica,Mecanica,2025-05-03,184,13,15,182,37,Proveedor A,13,ok
179,General,Electrico,2025-05-15,117,24,54,87,13,Proveedor A,11,ok
180,General,Mecanica,2025-05-17,82,13,25,70,32,Proveedor B,11,ok
181,General,Hidraulico,2025-05-05,99,22,21,100,29,Proveedor B,5,ok
182,Electronica,Hidraulico,2025-05-31,141,14,8,147,43,Proveedor B,4,ok
183,Electronica,Electrico,2025-01-27,56,16,25,47,27,Proveedor C,5,ok
184,General,Mecanica,2025-04-19,198,18,19,197,14,Proveedor C,14,ok
185,General,Electrico,2025-06-24,95,5,12,88,22,Proveedor B,8,ok
186,Electronica,Electrico,2025-04-11,169,15,12,172,28,Proveedor A,13,ok
