id_producto,nombre_producto,categoria,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock
0,Electronica,Electrico,2025-04-13,60,0,23,37.0,34.0,Proveedor C,9.0,bajo
1,General,Herramientas,2025-04-22,94,0,22,72.0,23.0,Proveedor C,5.0,ok
2,Electronica,Electrico,2025-01-19,31,16,23,24.0,25.0,Proveedor C,10.0,critico
3,Electronica,Herramientas,2025-04-05,133,13,15,131.0,36.0,Proveedor B,4.0,ok
4,General,Hidraulico,2025-02-09,145,19,18,146.0,26.0,Proveedor C,5.0,ok
5,General,Herramientas,2025-06-28,84,22,22,84.0,17.0,Proveedor C,12.0,error
6,General,Electrico,2025-04-21,22,5,0,27.0,44.0,Proveedor C,10.0,critico
7,General,Herramientas,2025-02-12,180,33,22,191.0,49.0,Proveedor B,12.0,ok
8,General,Hidraulico,2025-02-05,77,3,21,59.0,43.0,Proveedor C,9.0,bajo
9,General,Electrico,2025-06-05,180,18,15,183.0,37.0,Proveedor A,12.0,ok
10,General,Herramientas,2025-02-05,79,0,7,72.0,26.0,Proveedor B,8.0,ok
11,General,Electrico,2025-06-03,147,14,0,161.0,17.0,Proveedor C,10.0,ok
12,Electronica,Mecanica,2025-06-13,183,12,40,155.0,36.0,Proveedor B,9.0,ok
13,General,Herramientas,2025-04-08,26,8,36,-2.0,29.0,Proveedor C,8.0,critico
14,Electronica,Herramientas,2025-04-20,162,15,25,152.0,19.0,Proveedor C,14.0,ok
15,General,Electrico,2025-02-19,67,19,24,62.0,18.0,Proveedor C,9.0,ok
16,Electronica,Electrico,2025-06-09,156,3,22,137.0,29.0,Proveedor A,2.0,ok
17,General,Electrico,2025-05-09,95,22,20,97.0,18.0,Proveedor C,10.0,ok
18,General,Hidraulico,2025-05-25,181,18,24,175.0,24.0,Proveedor C,4.0,ok
19,General,Electrico,2025-04-24,91,1,15,77.0,33.0,Proveedor C,10.0,ok
20,Electronica,Hidraulico,2025-05-03,193,21,34,180.0,36.0,Proveedor A,10.0,ok
21,General,Hidraulico,2025-01-18,71,9,33,47.0,13.0,Proveedor A,11.0,ok
22,Electronica,Mecanica,2025-02-15,35,25,19,41.0,29.0,Proveedor B,8.0,bajo
23,Electronica,Hidraulico,2025-03-16,22,8,24,6.0,39.0,Proveedor B,13.0,critico
24,General,Herramientas,2025-03-23,75,19,13,81.0,39.0,Proveedor B,5.0,ok
25,Electronica,Mecanica,2025-05-01,84,18,16,86.0,49.0,Proveedor B,8.0,ok
26,Electronica,Herramientas,2025-03-11,134,17,8,143.0,18.0,Proveedor C,10.0,ok
27,General,Herramientas,2025-05-04,170,13,13,170.0,30.0,Proveedor B,6.0,ok
28,General,Hidraulico,2025-04-04,54,0,17,37.0,26.0,Proveedor B,14.0,bajo
29,Electronica,Electrico,2025-06-10,124,27,17,134.0,16.0,Proveedor C,8.0,ok
30,General,Herramientas,2025-05-13,130,9,20,119.0,18.0,Proveedor C,10.0,ok
31,Electronica,Electrico,2025-03-19,77,19,18,78.0,10.0,Proveedor A,3.0,ok
32,General,Hidraulico,2025-04-30,134,22,29,127.0,27.0,Proveedor B,4.0,ok
33,General,Herramientas,2025-04-16,164,9,26,147.0,42.0,Proveedor C,7.0,ok
34,General,Hidraulico,2025-04-11,151,16,29,138.0,46.0,Proveedor A,9.0,ok
35,Electronica,Herramientas,2025-02-05,32,12,22,22.0,34.0,Proveedor A,2.0,critico
36,General,Herramientas,2025-04-17,86,0,9,77.0,38.0,Proveedor B,3.0,ok
37,General,Herramientas,2025-05-19,144,3,5,142.0,36.0,Proveedor B,10.0,ok
38,General,Mecanica,2025-06-14,157,27,12,172.0,15.0,Proveedor C,3.0,ok
39,Electronica,Herramientas,2025-04-28,154,9,16,147.0,30.0,Proveedor B,13.0,ok
40,General,Herramientas,2025-05-22,135,19,31,123.0,30.0,Proveedor A,14.0,ok
41,General,Herramientas,2025-02-22,137,8,24,121.0,15.0,Proveedor C,8.0,ok
42,General,Hidraulico,2025-05-08,174,13,18,169.0,33.0,Proveedor A,7.0,ok
43,Electronica,Hidraulico,2025-06-22,181,2,18,165.0,23.0,Proveedor B,2.0,ok
44,Electronica,Herramientas,2025-01-27,43,17,10,50.0,47.0,Proveedor C,5.0,bajo
45,General,Electrico,2025-06-01,73,4,15,62.0,35.0,Proveedor B,11.0,ok
46,Electronica,Mecanica,2025-04-20,47,17,26,38.0,31.0,Proveedor A,8.0,bajo
47,Electronica,Herramientas,2025-02-08,139,12,0,151.0,29.0,Proveedor C,14.0,ok
48,General,Mecanica,2025-04-05,70,6,28,48.0,21.0,Proveedor A,13.0,ok
49,Electronica,Mecanica,2025-06-14,-410,25,39,89.0,30.0,Proveedor B,3.0,ok
50,Electronica,Herramientas,2025-06-11,179,23,8,194.0,46.0,Proveedor B,2.0,ok
51,Electronica,Electrico,2025-02-28,142,23,7,158.0,42.0,Proveedor B,5.0,ok
52,Electronica,Hidraulico,2025-05-23,86,20,27,79.0,24.0,Proveedor B,,ok
53,Electronica,Hidraulico,2025-01-24,91,11,19,83.0,34.0,Proveedor C,3.0,ok
54,General,Mecanica,2025-05-30,140,15,9,146.0,36.0,Proveedor A,13.0,ok
55,Electronica,Hidraulico,2025-02-16,25,12,2904,-4.0,26.0,Proveedor A,12.0,critico
56,General,Herramientas,2025-06-04,163,35,23,175.0,20.0,Proveedor B,2.0,ok
57,Electronica,Herramientas,2025-02-28,65,24,18,71.0,49.0,Proveedor C,9.0,bajo
58,Electronica,Herramientas,2025-06-14,123,5,33,95.0,14.0,Proveedor A,5.0,ok
59,General,Electrico,2025-03-18,94,18,33,79.0,31.0,Proveedor B,7.0,ok
60,Electronica,Hidraulico,2025-02-08,56,20,22,54.0,49.0,Proveedor C,,bajo
61,General,Electrico,2025-01-14,186,21,6,201.0,29.0,Proveedor A,2.0,ok
62,General,Herramientas,2025-05-21,188,24,16,196.0,18.0,Proveedor A,6.0,ok
63,Electronica,Electrico,2025-03-21,182,16,26,172.0,13.0,Proveedor C,6.0,ok
64,General,Hidraulico,2025-01-25,59,11,31,39.0,29.0,Proveedor C,14.0,bajo
65,Electronica,Hidraulico,2025-03-30,161,13,24,150.0,42.0,Proveedor B,5.0,ok
66,General,Herramientas,2025-02-20,45,3,20,28.0,27.0,Proveedor C,7.0,bajo
67,General,Electrico,2025-04-12,82,10,29,63.0,36.0,Proveedor A,3.0,ok
68,Electronica,Hidraulico,2025-03-01,149,5,20,134.0,48.0,Proveedor B,13.0,ok
69,Electronica,Electrico,2025-04-03,163,13,31,145.0,34.0,Proveedor C,2.0,ok
70,Electronica,Hidraulico,2025-05-24,193,4,0,197.0,10.0,Proveedor A,11.0,ok
71,General,Herramientas,2025-05-26,117,19,19,117.0,43.0,Proveedor C,8.0,ok
72,Electronica,Electrico,2025-06-28,149,19,10,158.0,10.0,Proveedor B,3.0,ok
73,Electronica,Electrico,2025-02-13,51,16,21,46.0,10.0,Proveedor A,5.0,ok
74,General,Electrico,2025-06-04,119,25,34,110.0,48.0,Proveedor C,4.0,ok
75,General,Electrico,2025-04-22,179,8,45,142.0,11.0,Proveedor C,3.0,ok
76,Electronica,Mecanica,2025-03-06,79,3,31,51.0,41.0,Proveedor C,14.0,bajo
77,General,Electrico,2025-05-12,115,29,6,138.0,46.0,Proveedor A,8.0,ok
78,General,Electrico,2025-05-12,195,11,23,183.0,43.0,Proveedor C,12.0,ok
