id,codigo,descripcion,categoria,sub_categoria,unidad_medida,material,caracteristica2,caracteristica3,grupo,precio_actual_uusds,almacen,cantidad,datos,grup,nombre_producto,id_producto,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock,precio_unitario_usd,costo_logistica_usd,costo_almacenamiento_usd,costo_administrativo_usd,costo_indirecto_total_usd,costo_total_unitario_usd,valor_stock_final_usd
6001-2RS-Ruleman,6001-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6001-2RS-Ruleman,0,2025-06-30,79,18,12,85.0,17.0,Proveedor B,3,ok,12.2,1.29,0.49,0.18,1.96,14.16,1203.6
6006-2RS-Ruleman,6006-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6006-2RS-Ruleman,1,2025-06-18,72,25,19,78.0,11.0,Proveedor B,1,ok,17.56,1.28,0.77,0.41,2.46,20.02,1561.56
6005-Z7-Ruleman,6005-Z7,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6005-Z7-Ruleman,2,2025-02-17,26,19,19,26.0,27.0,Proveedor C,6,critico,15.62,0.81,0.58,0.49,1.88,17.5,455.0
"9,25-MECHA",9.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,9.25,,MECHAS,,,0.0,,,"9,25-MECHA",3,2025-01-20,55,20,24,51.0,6.0,Proveedor B,7,ok,20.33,0.88,1.14,0.76,2.78,23.11,1178.61
M90-ARANDELA,M90,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M90,,ACERO COMUN,,1.0,0.0,,,M90-ARANDELA,4,2025-05-22,70,8,14,64.0,17.0,Proveedor C,8,ok,28.95,2.44,0.45,0.68,3.57,32.52,2081.28
1-MECHA,1,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,1,,MECHAS,,,3.0,,,1-MECHA,5,2025-03-15,94,17,15,96.0,21.0,Proveedor C,5,ok,13.05,0.84,0.74,0.18,1.76,14.81,1421.76
R55611-RETENES,R55611,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,R55611-RETENES,6,2025-02-05,104,21,15,110.0,29.0,Proveedor A,5,ok,30.74,3.54,1.14,0.39,5.07,35.81,3939.1
6001-2RS-Ruleman,6001-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6001-2RS-Ruleman,7,2025-03-24,57,16,10,63.0,18.0,Proveedor B,9,ok,37.11,1.46,0.51,1.21,3.18,40.29,2538.27
"10,75-MECHA",10.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,10.75,,MECHAS,,,0.0,,,"10,75-MECHA",8,2025-05-12,37,14,0,51.0,6.0,Proveedor A,10,ok,2.98,0.27,0.09,0.06,0.42,3.4,173.4
M8-TUERC MARIPOSA MACH,M8,TUERC MARIPOSA MACH,mecanica,TUERC MARIP MACH,unidad,COMUN,M8,,ACERO COMUN,,1.0,-6.0,,,M8-TUERC MARIPOSA MACH,9,2025-05-01,46,8,20,34.0,22.0,Proveedor B,4,ok,8.05,0.5,0.31,0.15,0.96,9.01,306.34
M26-ARANDELA,M26,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M26,,ACERO COMUN,,1.0,0.0,,,M26-ARANDELA,10,2025-01-01,98,22,12,108.0,2.0,Proveedor C,7,ok,26.99,2.33,0.51,0.65,3.49,30.48,3291.84
KH1228-BUJE,KH1228,BUJE,mecanica,BUJE,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,KH1228-BUJE,11,2025-06-07,56,3,7,52.0,22.0,Proveedor A,7,ok,26.72,1.77,1.39,1.03,4.19,30.91,1607.32
M10x25-BUL HEX INOX,M10x25,BUL HEX INOX,mecanica,BULON INOX,unidad,INOXIDABLE,M10x25,,INOXIDABLE,,1.0,13.0,,,M10x25-BUL HEX INOX,12,2025-03-06,22,15,16,21.0,17.0,Proveedor C,10,bajo,7.07,0.65,0.12,0.21,0.98,8.05,169.05
M50-ALLEN,M50,ALLEN,mecanica,ALLEN,unidad,COMUN,M50,,ACERO COMUN,,1.0,32.0,,,M50-ALLEN,13,2025-03-31,45,3,21,27.0,18.0,Proveedor D,4,bajo,5.19,0.21,0.3,0.07,0.58,5.77,155.79
