id,codigo,descripcion,categoria,sub_categoria,unidad_medida,material,caracteristica2,caracteristica3,grupo,precio_actual_usd,almacen,cantidad,datos,grup,nombre_producto,id_producto,fecha,stock_inicial,cantidad_ingresada,cantidad_egresada,stock_final,stock_minimo,proveedor,tiempo_reposicion_dias,estado_stock,precio_unitario_usd,costo_logistica_usd,costo_almacenamiento_usd,costo_administrativo_usd,costo_indirecto_total_usd,costo_total_unitario_usd,valor_stock_final_usd
M10X20 -CABEZ FREZADA,M10X20,CABEZ FREZADA,mecanica,CABEZ FRESADA,unidad,INOXIDABLE,M10X20,,INOXIDABLE,,1.0,-22.0,,,M10X20 -CABEZ FREZADA,0,2025-06-09,118.0,15,19.0,-244.0,12,Proveedor D,6,ok,23.24,1.15,0.78,0.47,2.4,25.64,2922.96
DSD 75 105 15-RETENES,DSD 75 105 15,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,DSD 75 105 15-RETENES,1,2025-04-22,39.0,27,12.0,54.0,33,Proveedor C,8,ok,7.77,0.62,0.44,0.16,1.22,8.99,485.46
NK-NC80-FLAP,NK-NC80,FLAP,mecanica,FLAP,unidad,MANTA ABRASIVA,GRANO 80,,DISCOS DE CORTE,,1.0,25.0,,,NK-NC80-FLAP,2,2025-06-09,35.0,15,5.0,45.0,11,Proveedor D,7,ok,13.93,1.61,0.21,0.45,2.27,16.2,729.0
M6-TUERCA INOX,M6,TUERCA INOX,mecanica,TUERCA INOX,unidad,INOXIDABLE,M6,,INOXIDABLE,,1.0,241.0,,,M6-TUERCA INOX,3,2025-04-23,51.0,0,18.0,33.0,29,Proveedor A,4,bajo,26.65,2.62,1.27,1.04,4.93,31.58,1042.14
6710-RETENES,6710,RETENES,mecanica,RETENES,unidad,NITRILO,,,ACERO COMUN,,1.0,1.0,,,6710-RETENES,4,2025-05-29,65.0,23,27.0,61.0,17,Proveedor C,7,ok,20.76,2.33,0.71,0.34,3.38,24.14,1472.54
M6-MECHA MACHO P ROSCAR,M6,MECHA MACHO P ROSCAR,mecanica,herramental de corte,unidad,ACERO RAPIDO,M6,,MECHAS,,,1.0,,,M6-MECHA MACHO P ROSCAR,5,2025-01-15,60.0,19,6.0,73.0,27,Proveedor D,2,ok,26.72,2.56,0.64,0.49,3.69,30.41,2219.93
"8,75-MECHA",8.75,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,8.75,,MECHAS,,,1.0,,,"8,75-MECHA",6,2025-03-21,6.0,13,18.0,1.0,29,Proveedor D,10,critico,15.59,1.33,0.53,0.48,2.34,17.93,17.93
M10-TUERCA AUT,M10,TUERCA AUT,mecanica,TUERCA AUT,unidad,COMUN,"M10 X 1,5",,ACERO COMUN,0.8,1.0,360.0,ver,,M10-TUERCA AUT,7,2025-05-08,38.0,8,13.0,33.0,26,Proveedor B,8,bajo,0.9,0.05,0.05,0.03,0.13,1.03,33.99
"3,15-MECHA CENTRO",3.15,MECHA CENTRO,mecanica,herramental de corte,unidad,ACERO RAPIDO,3.15,,MECHAS,,,2.0,,,"3,15-MECHA CENTRO",8,2025-03-01,53.0,20,10.0,63.0,29,Proveedor C,3,ok,31.99,3.39,1.7,0.76,5.85,37.84,2383.92
UCP204-CAJA RODAMIENTO,UCP204,CAJA RODAMIENTO,mecanica,CAJA RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,4.0,,,UCP204-CAJA RODAMIENTO,9,2025-06-17,70.0,26,3.0,93.0,30,Proveedor A,13,ok,58.33,2.46,2.7,1.22,6.38,64.71,6018.03
6804Z-2RS-Ruleman,6804Z-2RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,6804Z-2RS-Ruleman,10,2025-04-29,58.0,22,19.0,61.0,13,Proveedor D,6,ok,17.39,1.7,0.98,0.4,3.08,20.47,1248.67
M4-ARANDELA,M4,ARANDELA,mecanica,ARANDELA,unidad,COMUN,M4,,ACERO COMUN,,1.0,67.0,,,M4-ARANDELA,11,2025-01-12,68.0,21,5.0,84.0,13,Proveedor A,8,ok,11.47,1.35,0.37,0.19,1.91,13.38,1123.92
M8-TUERCA AUT,M8,TUERCA AUT,mecanica,TUERCA AUT,unidad,COMUN,M8,,ACERO COMUN,,1.0,95.0,,,M8-TUERCA AUT,12,2025-04-16,62.0,20,13.0,69.0,4,Proveedor C,8,ok,16.53,0.84,0.6,0.39,1.83,18.36,1266.84
M8X55-BULONES,M8X55,BULONES,mecanica,BULONES HEXAG,unidad,COMUN,M8X55,,ACERO COMUN,,1.0,121.0,,,M8X55-BULONES,13,2025-02-12,55.0,16,16.0,55.0,10,Proveedor C,4,ok,29.62,3.26,1.7,0.82,5.78,35.4,1947.0
6005RS-Ruleman,6005RS,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6005RS-Ruleman,14,2025-05-12,60.0,12,16.0,56.0,15,Proveedor C,4,ok,9.87,0.88,0.31,0.2,1.39,11.26,630.56
6006-ZQS1/03-RODAMIENTO,6006-ZQS1/03,RODAMIENTO,mecanica,RODAMIENTO,unidad,acero comun,,,ACERO COMUN,,1.0,0.0,,,6006-ZQS1/03-RODAMIENTO,15,2025-02-03,33.0,23,24.0,32.0,18,Proveedor C,6,ok,13.54,1.58,0.74,0.34,2.66,16.2,518.4
32005-Ruleman,32005,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,32005-Ruleman,16,2025-03-09,127.0,10,16.0,121.0,14,Proveedor C,8,ok,23.7,2.51,0.93,0.53,3.97,27.67,3348.07
32005X-Ruleman,32005X,Ruleman,mecanica,RULEMANES,unidad,acero comun,,,ACERO COMUN,,1.0,3.0,,,32005X-Ruleman,17,2025-02-08,75.0,18,19.0,74.0,10,Proveedor A,6,ok,14.65,1.27,0.36,0.31,1.94,16.59,1227.66
"11,25-MECHA",11.25,MECHA,mecanica,herramental de corte,unidad,ACERO RAPIDO,11.25,,MECHAS,,,0.0,,,"11,25-MECHA",18,2025-05-18,64.0,8,27.0,45.0,20,Proveedor B,4,ok,10.9,0.34,0.11,0.36,0.81,11.71,526.95
